split,image_path,mask_path,width,height,image_channels,mask_channels,image_format,mask_format,image_size_kb,mask_size_kb,masked_pixels,mask_ratio
train,train/images/nail_train_000001.jpg,train/masks/nail_train_000001.png,640,640,3,1,JPEG,PNG,30.79,1.53,5821,0.014211
train,train/images/nail_train_000002.jpg,train/masks/nail_train_000002.png,640,640,3,1,JPEG,PNG,40.24,1.54,6634,0.016196
train,train/images/nail_train_000003.jpg,train/masks/nail_train_000003.png,640,640,3,1,JPEG,PNG,28.13,2.08,16648,0.040645
train,train/images/nail_train_000004.jpg,train/masks/nail_train_000004.png,640,640,3,1,JPEG,PNG,27.7,2.23,16678,0.040718
train,train/images/nail_train_000008.jpg,train/masks/nail_train_000008.png,640,640,3,1,JPEG,PNG,29.4,1.19,4607,0.011248
train,train/images/nail_train_000009.jpg,train/masks/nail_train_000009.png,640,640,3,1,JPEG,PNG,29.48,2.38,18728,0.045723
train,train/images/nail_train_000010.jpg,train/masks/nail_train_000010.png,640,640,3,1,JPEG,PNG,30.97,2.44,18681,0.045608
train,train/images/nail_train_000012.jpg,train/masks/nail_train_000012.png,640,640,3,1,JPEG,PNG,30.1,1.54,6940,0.016943
train,train/images/nail_train_000013.jpg,train/masks/nail_train_000013.png,640,640,3,1,JPEG,PNG,30.34,1.63,10349,0.025266
train,train/images/nail_train_000014.jpg,train/masks/nail_train_000014.png,640,640,3,1,JPEG,PNG,29.22,2.06,10317,0.025188
train,train/images/nail_train_000015.jpg,train/masks/nail_train_000015.png,640,640,3,1,JPEG,PNG,25.63,1.31,5246,0.012808
train,train/images/nail_train_000016.jpg,train/masks/nail_train_000016.png,640,640,3,1,JPEG,PNG,30.75,1.28,5247,0.01281
train,train/images/nail_train_000017.jpg,train/masks/nail_train_000017.png,640,640,3,1,JPEG,PNG,18.88,1.61,9907,0.024187
train,train/images/nail_train_000019.jpg,train/masks/nail_train_000019.png,640,640,3,1,JPEG,PNG,27.05,1.49,4959,0.012107
train,train/images/nail_train_000020.jpg,train/masks/nail_train_000020.png,640,640,3,1,JPEG,PNG,34.49,1.42,4937,0.012053
train,train/images/nail_train_000021.jpg,train/masks/nail_train_000021.png,640,640,3,1,JPEG,PNG,17.67,1.51,5030,0.01228
train,train/images/nail_train_000022.jpg,train/masks/nail_train_000022.png,640,640,3,1,JPEG,PNG,22.85,1.36,5006,0.012222
train,train/images/nail_train_000023.jpg,train/masks/nail_train_000023.png,640,640,3,1,JPEG,PNG,27.48,1.81,10756,0.02626
train,train/images/nail_train_000024.jpg,train/masks/nail_train_000024.png,640,640,3,1,JPEG,PNG,30.08,1.81,10780,0.026318
train,train/images/nail_train_000025.jpg,train/masks/nail_train_000025.png,640,640,3,1,JPEG,PNG,26.36,1.56,8095,0.019763
train,train/images/nail_train_000027.jpg,train/masks/nail_train_000027.png,640,640,3,1,JPEG,PNG,33.49,1.7,8450,0.02063
train,train/images/nail_train_000028.jpg,train/masks/nail_train_000028.png,640,640,3,1,JPEG,PNG,32.39,1.69,8495,0.02074
train,train/images/nail_train_000029.jpg,train/masks/nail_train_000029.png,640,640,3,1,JPEG,PNG,32.06,1.72,6987,0.017058
train,train/images/nail_train_000031.jpg,train/masks/nail_train_000031.png,640,640,3,1,JPEG,PNG,31.15,3.81,59900,0.14624
train,train/images/nail_train_000032.jpg,train/masks/nail_train_000032.png,640,640,3,1,JPEG,PNG,31.83,3.46,59840,0.146094
train,train/images/nail_train_000033.jpg,train/masks/nail_train_000033.png,640,640,3,1,JPEG,PNG,31.83,1.75,12281,0.029983
train,train/images/nail_train_000034.jpg,train/masks/nail_train_000034.png,640,640,3,1,JPEG,PNG,29.21,1.9,12245,0.029895
train,train/images/nail_train_000035.jpg,train/masks/nail_train_000035.png,640,640,3,1,JPEG,PNG,36.33,2.63,21393,0.052229
train,train/images/nail_train_000036.jpg,train/masks/nail_train_000036.png,640,640,3,1,JPEG,PNG,37.29,2.27,21459,0.05239
train,train/images/nail_train_000037.jpg,train/masks/nail_train_000037.png,640,640,3,1,JPEG,PNG,23.46,2.34,28450,0.069458
train,train/images/nail_train_000039.jpg,train/masks/nail_train_000039.png,640,640,3,1,JPEG,PNG,32.94,2,14159,0.034568
train,train/images/nail_train_000040.jpg,train/masks/nail_train_000040.png,640,640,3,1,JPEG,PNG,29.4,2.01,14134,0.034507
train,train/images/nail_train_000041.jpg,train/masks/nail_train_000041.png,640,640,3,1,JPEG,PNG,25.78,2,15721,0.038381
train,train/images/nail_train_000042.jpg,train/masks/nail_train_000042.png,640,640,3,1,JPEG,PNG,25.41,1.95,15714,0.038364
train,train/images/nail_train_000043.jpg,train/masks/nail_train_000043.png,640,640,3,1,JPEG,PNG,48.62,1.18,3359,0.008201
train,train/images/nail_train_000044.jpg,train/masks/nail_train_000044.png,640,640,3,1,JPEG,PNG,38.12,1.32,3361,0.008206
train,train/images/nail_train_000045.jpg,train/masks/nail_train_000045.png,640,640,3,1,JPEG,PNG,27.06,2.1,16060,0.039209
train,train/images/nail_train_000047.jpg,train/masks/nail_train_000047.png,640,640,3,1,JPEG,PNG,25.74,1.9,12747,0.031121
train,train/images/nail_train_000048.jpg,train/masks/nail_train_000048.png,640,640,3,1,JPEG,PNG,32.66,1.91,12732,0.031084
train,train/images/nail_train_000049.jpg,train/masks/nail_train_000049.png,640,640,3,1,JPEG,PNG,30.23,2.68,22278,0.05439
train,train/images/nail_train_000050.jpg,train/masks/nail_train_000050.png,640,640,3,1,JPEG,PNG,26.98,2.68,22211,0.054226
train,train/images/nail_train_000052.jpg,train/masks/nail_train_000052.png,640,640,3,1,JPEG,PNG,28.51,2.05,24567,0.059978
train,train/images/nail_train_000053.jpg,train/masks/nail_train_000053.png,640,640,3,1,JPEG,PNG,23.83,1.67,15044,0.036729
train,train/images/nail_train_000054.jpg,train/masks/nail_train_000054.png,640,640,3,1,JPEG,PNG,24.1,1.69,15659,0.03823
train,train/images/nail_train_000055.jpg,train/masks/nail_train_000055.png,640,640,3,1,JPEG,PNG,24.23,1.97,13623,0.033259
train,train/images/nail_train_000056.jpg,train/masks/nail_train_000056.png,640,640,3,1,JPEG,PNG,24.93,1.96,13639,0.033298
train,train/images/nail_train_000057.jpg,train/masks/nail_train_000057.png,640,640,3,1,JPEG,PNG,29.06,2.49,26082,0.063677
train,train/images/nail_train_000058.jpg,train/masks/nail_train_000058.png,640,640,3,1,JPEG,PNG,30.03,2.37,26141,0.063821
train,train/images/nail_train_000059.jpg,train/masks/nail_train_000059.png,640,640,3,1,JPEG,PNG,34.87,1.94,11281,0.027542
train,train/images/nail_train_000060.jpg,train/masks/nail_train_000060.png,640,640,3,1,JPEG,PNG,38.08,1.95,11317,0.027629
train,train/images/nail_train_000061.jpg,train/masks/nail_train_000061.png,640,640,3,1,JPEG,PNG,33.17,1.96,15891,0.038796
train,train/images/nail_train_000062.jpg,train/masks/nail_train_000062.png,640,640,3,1,JPEG,PNG,34.71,2.19,15900,0.038818
train,train/images/nail_train_000063.jpg,train/masks/nail_train_000063.png,640,640,3,1,JPEG,PNG,29.28,2.09,13337,0.032561
train,train/images/nail_train_000064.jpg,train/masks/nail_train_000064.png,640,640,3,1,JPEG,PNG,32.02,1.91,13343,0.032576
train,train/images/nail_train_000065.jpg,train/masks/nail_train_000065.png,640,640,3,1,JPEG,PNG,23.81,2.17,9341,0.022805
train,train/images/nail_train_000066.jpg,train/masks/nail_train_000066.png,640,640,3,1,JPEG,PNG,23.47,2.08,9300,0.022705
