epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,319.902,1.57475,2.07416,0.92839,0.00489,0.84973,0.94593,0.90146,0.95441,0.6942,0.94458,0.89823,0.95078,0.65959,1.08869,1.3701,0.50893,0.00673,0,0.000665695,0.000665695,0.000665695
2,620.884,1.63662,2.11043,0.96535,0.00506,0.95279,0.92119,0.88374,0.93985,0.66614,0.92359,0.87697,0.93946,0.65819,1.13339,1.42676,0.56881,0.00717,0,0.00128839,0.00128839,0.00128839
3,919.065,1.65054,2.11777,0.99934,0.00531,1.03261,0.9274,0.86602,0.93574,0.66863,0.92675,0.8638,0.93328,0.64315,1.11785,1.46134,0.6332,0.00749,0,0.00186709,0.00186709,0.00186709
4,1218.29,1.66232,2.13069,1.0217,0.00536,1.06752,0.91443,0.87413,0.93605,0.66344,0.91346,0.86957,0.93286,0.66949,1.16143,1.41406,0.6266,0.00793,0,0.001802,0.001802,0.001802
5,1491.43,1.65284,2.09669,1.01537,0.00533,1.07479,0.90592,0.88374,0.93547,0.66267,0.90526,0.88309,0.93404,0.66711,1.14163,1.42627,0.60421,0.00779,0,0.001736,0.001736,0.001736
6,1803.43,1.67554,2.10503,1.00863,0.00543,1.02962,0.90987,0.88341,0.93792,0.68788,0.90761,0.87955,0.93659,0.66795,1.12043,1.40391,0.56776,0.00766,0,0.00167,0.00167,0.00167
7,1989.99,1.67555,2.08324,0.99494,0.00527,1.01854,0.92493,0.88095,0.94093,0.67255,0.92753,0.86566,0.93155,0.64506,1.14868,1.47864,0.59295,0.0076,0,0.001604,0.001604,0.001604
8,2371.37,1.65426,2.0668,0.97395,0.00519,0.98234,0.92281,0.88555,0.9319,0.65944,0.92176,0.87643,0.9298,0.65472,1.19767,1.41628,0.65264,0.00764,0,0.001538,0.001538,0.001538
9,2675.95,1.64681,2.06747,0.97494,0.00522,0.96799,0.92215,0.88535,0.94071,0.68949,0.92037,0.88052,0.94018,0.66725,1.09662,1.39788,0.58229,0.00761,0,0.001472,0.001472,0.001472
10,2867.42,1.62992,2.03726,0.96827,0.00531,0.99067,0.92138,0.87182,0.93674,0.67335,0.92002,0.87053,0.93693,0.66634,1.15938,1.41245,0.61513,0.00783,0,0.001406,0.001406,0.001406
