epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,198.093,1.49791,2.25097,2.68215,0.00628,1.93264,0.87917,0.80845,0.87111,0.53368,0.87081,0.79968,0.85989,0.53064,1.40515,1.96636,1.61916,0.00884,0,0.000665693,0.000665693,0.000665693
2,424.634,1.58937,2.12438,1.41888,0.00697,1.46557,0.88841,0.8333,0.88606,0.53959,0.87825,0.82245,0.86837,0.52485,1.42949,1.91037,0.9889,0.00916,0,0.00131038,0.00131038,0.00131038
3,639.503,1.63862,2.17171,1.25324,0.00737,1.46677,0.88134,0.81932,0.86188,0.5045,0.86926,0.80724,0.8385,0.48418,1.44235,1.89274,1.00752,0.01029,0,0.00193306,0.00193306,0.00193306
4,852.722,1.62898,2.16427,1.17836,0.00731,1.42679,0.89234,0.83018,0.89332,0.54972,0.87764,0.81547,0.86688,0.51339,1.45028,1.91061,0.85202,0.01026,0,0.001901,0.001901,0.001901
5,1064.8,1.59906,2.10839,1.14537,0.00713,1.37596,0.8968,0.83965,0.89878,0.57007,0.88566,0.83324,0.88619,0.55899,1.46536,1.84716,0.83365,0.01061,0,0.001868,0.001868,0.001868
6,1305.84,1.57861,2.05542,1.11966,0.00704,1.29339,0.90223,0.85056,0.90894,0.57871,0.89418,0.83552,0.89598,0.56744,1.32707,1.72147,0.77424,0.00896,0,0.001835,0.001835,0.001835
7,1544.68,1.56087,2.02829,1.06528,0.00691,1.24157,0.90386,0.86898,0.9144,0.60749,0.89329,0.85736,0.90397,0.58088,1.34151,1.72803,0.75866,0.00949,0,0.001802,0.001802,0.001802
8,1762.85,1.54698,2.00258,1.04569,0.00683,1.16824,0.90553,0.86751,0.91932,0.61853,0.89478,0.8572,0.90458,0.58252,1.29159,1.73903,0.70292,0.00884,0,0.001769,0.001769,0.001769
9,1970.26,1.54469,2.00618,1.04613,0.0069,1.1816,0.90302,0.8628,0.91246,0.61663,0.90082,0.84533,0.89937,0.58432,1.31176,1.71118,0.6892,0.00914,0,0.001736,0.001736,0.001736
10,2159.47,1.52048,1.96369,1.0141,0.00676,1.0957,0.91843,0.86306,0.92243,0.60338,0.90541,0.85082,0.89993,0.57272,1.26813,1.69935,0.67503,0.00858,0,0.001703,0.001703,0.001703
11,2354.22,1.52041,1.95603,1.00733,0.00667,1.14696,0.90437,0.87182,0.92661,0.63536,0.89558,0.85907,0.91252,0.60408,1.21887,1.60454,0.69183,0.00809,0,0.00167,0.00167,0.00167
12,2551.19,1.50251,1.94752,0.98875,0.00653,1.07653,0.91741,0.87182,0.9257,0.61743,0.90123,0.85511,0.9075,0.59446,1.22762,1.66461,0.66548,0.00857,0,0.001637,0.001637,0.001637
13,2764.12,1.47308,1.90185,0.95862,0.00646,1.04568,0.92205,0.87622,0.92906,0.63145,0.91489,0.85852,0.91374,0.59347,1.22007,1.66497,0.69939,0.0082,0,0.001604,0.001604,0.001604
14,2972.83,1.47095,1.91438,0.9701,0.00632,1.02128,0.9065,0.87434,0.92663,0.62949,0.90971,0.85013,0.91623,0.60543,1.23664,1.63759,0.6934,0.00817,0,0.001571,0.001571,0.001571
15,3182.22,1.47704,1.90247,0.95042,0.00632,0.9738,0.92679,0.87053,0.92966,0.64203,0.9171,0.85636,0.91679,0.60391,1.20702,1.60206,0.6832,0.00845,0,0.001538,0.001538,0.001538
16,3395.21,1.46221,1.90385,0.95085,0.00618,0.96979,0.90198,0.88245,0.93184,0.64405,0.90226,0.86517,0.92073,0.61711,1.18501,1.57659,0.64071,0.00793,0,0.001505,0.001505,0.001505
17,3653.63,1.45136,1.88611,0.94567,0.0062,0.98416,0.91065,0.8744,0.92901,0.62651,0.89765,0.86216,0.91423,0.59427,1.22451,1.59723,0.6648,0.00791,0,0.001472,0.001472,0.001472
18,3869.29,1.45563,1.85629,0.90847,0.00615,0.9731,0.92059,0.88108,0.93342,0.63653,0.90962,0.86989,0.92048,0.59832,1.23508,1.63506,0.62369,0.00829,0,0.001439,0.001439,0.001439
19,4081.5,1.43553,1.84653,0.91514,0.00606,0.91961,0.90072,0.88921,0.9353,0.65764,0.89749,0.87472,0.92647,0.62723,1.1623,1.53875,0.64408,0.00769,0,0.001406,0.001406,0.001406
20,4277.98,1.44802,1.85733,0.91198,0.00614,0.93737,0.91626,0.87665,0.93242,0.6524,0.90436,0.86185,0.91716,0.62379,1.15486,1.53338,0.62578,0.0076,0,0.001373,0.001373,0.001373
21,4471.82,1.42249,1.82928,0.90758,0.00606,0.89314,0.90717,0.89952,0.93442,0.66355,0.90709,0.86957,0.92608,0.62761,1.16913,1.53966,0.60178,0.00791,0,0.00134,0.00134,0.00134
22,4668.35,1.4236,1.83888,0.8867,0.00605,0.8933,0.91747,0.89243,0.93876,0.66513,0.91296,0.8648,0.92876,0.62251,1.1459,1.54068,0.61,0.00745,0,0.001307,0.001307,0.001307
23,4858.67,1.41801,1.8281,0.88365,0.00598,0.8774,0.91667,0.89952,0.94153,0.66782,0.90472,0.88069,0.9263,0.63587,1.13123,1.5339,0.5842,0.00724,0,0.001274,0.001274,0.001274
24,5052.62,1.40146,1.79867,0.87783,0.00581,0.83062,0.92475,0.89053,0.94591,0.67282,0.9193,0.86828,0.93323,0.63983,1.1406,1.50837,0.61395,0.00765,0,0.001241,0.001241,0.001241
25,5243.95,1.39083,1.78814,0.86275,0.00584,0.83511,0.92193,0.89761,0.94915,0.67343,0.91218,0.87982,0.93766,0.64458,1.12777,1.49177,0.58367,0.00742,0,0.001208,0.001208,0.001208
26,5450.21,1.38707,1.77853,0.88089,0.00578,0.83646,0.92499,0.88148,0.94536,0.67553,0.90755,0.87762,0.93576,0.63662,1.10659,1.47713,0.60513,0.00702,0,0.001175,0.001175,0.001175
27,5654.98,1.37461,1.77618,0.86747,0.00575,0.85331,0.93055,0.87826,0.94262,0.67664,0.91742,0.86587,0.93286,0.64297,1.10638,1.45852,0.61376,0.00714,0,0.001142,0.001142,0.001142
28,5859.56,1.36491,1.74958,0.84531,0.00565,0.83904,0.91606,0.88926,0.94081,0.67316,0.91182,0.86588,0.92848,0.64396,1.10076,1.47948,0.60984,0.00724,0,0.001109,0.001109,0.001109
29,6065.57,1.37537,1.77102,0.83974,0.00562,0.81849,0.92694,0.88667,0.94372,0.68275,0.91414,0.87443,0.93227,0.6436,1.09423,1.4883,0.59624,0.00698,0,0.001076,0.001076,0.001076
30,6274.85,1.34299,1.72692,0.82242,0.00556,0.77983,0.9121,0.8963,0.94474,0.68791,0.91118,0.86894,0.93487,0.65469,1.07119,1.43284,0.60047,0.0068,0,0.001043,0.001043,0.001043
31,6525.28,1.35958,1.74564,0.83781,0.00557,0.82157,0.92082,0.88014,0.94174,0.68541,0.90689,0.86699,0.93262,0.65587,1.07189,1.43528,0.60164,0.00697,0,0.00101,0.00101,0.00101
32,6744.37,1.37202,1.74565,0.84576,0.00567,0.79519,0.93087,0.88921,0.94818,0.68979,0.9173,0.87118,0.93353,0.65215,1.07424,1.44268,0.59464,0.00675,0,0.000977,0.000977,0.000977
33,6956.13,1.34032,1.74823,0.81657,0.00555,0.79266,0.92967,0.87694,0.94261,0.69104,0.91729,0.86086,0.92978,0.65718,1.07154,1.43711,0.5899,0.00679,0,0.000944,0.000944,0.000944
34,7160.77,1.34714,1.72989,0.81785,0.00556,0.77278,0.92613,0.89236,0.94744,0.69482,0.9161,0.87216,0.93673,0.65749,1.06541,1.4319,0.58653,0.00674,0,0.000911,0.000911,0.000911
35,7368.57,1.34129,1.71422,0.82393,0.00551,0.77372,0.92035,0.89404,0.94829,0.6906,0.90517,0.87858,0.9374,0.65025,1.05039,1.42606,0.59441,0.00656,0,0.000878,0.000878,0.000878
36,7593.29,1.33647,1.71873,0.83108,0.00553,0.76992,0.92723,0.89873,0.94748,0.69198,0.91735,0.88298,0.93661,0.65563,1.07465,1.43556,0.55962,0.00707,0,0.000845,0.000845,0.000845
37,7804.93,1.33667,1.71763,0.82157,0.00545,0.75694,0.91362,0.89662,0.94476,0.68658,0.90083,0.88148,0.93773,0.65159,1.08842,1.41095,0.57448,0.00702,0,0.000812,0.000812,0.000812
38,8016.45,1.33506,1.70225,0.7972,0.00546,0.74186,0.93029,0.88106,0.94564,0.69349,0.91976,0.8638,0.93553,0.65838,1.05642,1.40033,0.60081,0.00658,0,0.000779,0.000779,0.000779
39,8228.01,1.32145,1.67948,0.80841,0.00537,0.74995,0.92627,0.88631,0.94791,0.70021,0.91642,0.87568,0.93968,0.65964,1.05522,1.43257,0.56753,0.00662,0,0.000746,0.000746,0.000746
40,8431.76,1.30326,1.6671,0.78358,0.0053,0.70817,0.93387,0.87321,0.94868,0.70487,0.92297,0.86057,0.93877,0.66177,1.02651,1.38048,0.57514,0.00635,0,0.000713,0.000713,0.000713
41,8660.32,1.30238,1.6697,0.78075,0.00525,0.69852,0.93736,0.88502,0.94938,0.70318,0.92406,0.87246,0.9396,0.66604,1.04637,1.39594,0.55884,0.00659,0,0.00068,0.00068,0.00068
42,8891.82,1.29364,1.6413,0.76714,0.00527,0.70501,0.92587,0.88792,0.94844,0.70926,0.91858,0.872,0.94139,0.6705,1.0291,1.37577,0.56821,0.00642,0,0.000647,0.000647,0.000647
43,9119.65,1.30523,1.6622,0.7824,0.00526,0.69528,0.92803,0.8846,0.95161,0.70567,0.92051,0.86894,0.94057,0.66836,1.02523,1.36554,0.56433,0.00642,0,0.000614,0.000614,0.000614
44,9345.16,1.28903,1.65203,0.7638,0.00517,0.68349,0.93292,0.88502,0.9514,0.71131,0.92102,0.87132,0.94244,0.67221,1.0146,1.37417,0.54719,0.00617,0,0.000581,0.000581,0.000581
45,9585.96,1.28333,1.63729,0.76779,0.00518,0.68473,0.93252,0.88575,0.95118,0.71443,0.92421,0.87311,0.94458,0.67314,1.02237,1.35766,0.55559,0.00648,0,0.000548,0.000548,0.000548
