feature,coefficient
contrast_chrom_b_diff,0.0
contrast_chrom_b_ratio,0.0
contrast_chrom_g_diff,0.0
contrast_chrom_g_ratio,0.0
contrast_chrom_r_diff,0.0
contrast_chrom_r_ratio,0.0
contrast_hsv_h_diff,0.0
contrast_hsv_h_ratio,0.0
contrast_hsv_s_diff,0.0
contrast_hsv_s_ratio,0.0
contrast_hsv_v_diff,0.0
contrast_hsv_v_ratio,0.0
contrast_lab_a_diff,0.0
contrast_lab_a_ratio,0.0
contrast_lab_b_diff,0.0
contrast_lab_b_ratio,0.0
contrast_lab_l_diff,0.0
contrast_lab_l_ratio,0.0
nail_chrom_b_mean,0.0
nail_chrom_b_median,0.0
nail_chrom_b_std,0.0
nail_chrom_g_mean,0.0
nail_chrom_g_median,0.0
nail_chrom_g_std,0.0
nail_chrom_r_mean,0.0
nail_chrom_r_median,0.0
nail_chrom_r_std,0.0
nail_hsv_h_circular_mean,0.0
nail_hsv_h_mean,0.0
nail_hsv_h_median,0.0
nail_hsv_h_std,0.0
nail_hsv_s_mean,0.0
nail_hsv_s_median,0.0
nail_hsv_s_std,0.0
nail_hsv_v_mean,0.0
nail_hsv_v_median,0.0
nail_hsv_v_std,0.0
nail_lab_a_mean,0.0
nail_lab_a_median,0.0
nail_lab_a_std,0.0
nail_lab_b_mean,0.0
nail_lab_b_median,0.0
nail_lab_b_std,0.0
nail_lab_l_mean,0.0
nail_lab_l_median,0.0
nail_lab_l_std,0.0
skin_chrom_b_mean,0.0
skin_chrom_b_median,0.0
skin_chrom_b_std,0.0
skin_chrom_g_mean,0.0
skin_chrom_g_median,0.0
skin_chrom_g_std,0.0
skin_chrom_r_mean,0.0
skin_chrom_r_median,0.0
skin_chrom_r_std,0.0
skin_hsv_h_circular_mean,0.0
skin_hsv_h_mean,0.0
skin_hsv_h_median,0.0
skin_hsv_h_std,0.0
skin_hsv_s_mean,0.0
skin_hsv_s_median,0.0
skin_hsv_s_std,0.0
skin_hsv_v_mean,0.0
skin_hsv_v_median,0.0
skin_hsv_v_std,0.0
skin_lab_a_mean,0.0
skin_lab_a_median,0.0
skin_lab_a_std,0.0
skin_lab_b_mean,0.0
skin_lab_b_median,0.0
skin_lab_b_std,0.0
skin_lab_l_mean,0.0
skin_lab_l_median,0.0
skin_lab_l_std,0.0
